Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,21,actions:offsite_conversion.fb_pixel_purchase,2539,3.109047619,65.29,4014,16.2655705,21,3.109047619
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,6,actions:offsite_conversion.fb_pixel_purchase,5278,11.08833333,66.53,5500,12.09636364,6,11.08833333
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,7,actions:offsite_conversion.fb_pixel_purchase,1548,9.335714286,65.35,4485,14.57079153,7,9.335714286
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,2,actions:offsite_conversion.fb_pixel_purchase,3691,32.695,65.39,3821,17.11332112,2,32.695
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,5,actions:offsite_conversion.fb_pixel_purchase,2993,13.016,65.08,3601,18.07275757,5,13.016
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,8,actions:offsite_conversion.fb_pixel_purchase,4330,8.08875,64.71,5747,11.25978772,8,8.08875
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,,,839,,14.46,842,17.17339667,,
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,,,505,,13.46,655,20.54961832,,
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,3,actions:offsite_conversion.fb_pixel_purchase,4302,22.17,66.51,4560,14.58552632,3,22.17
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,9,actions:offsite_conversion.fb_pixel_purchase,4258,13.80444444,124.24,8934,13.90642489,9,13.80444444
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,2,actions:offsite_conversion.fb_pixel_purchase,3994,33.22,66.44,4284,15.50887021,2,33.22
5/28/2016,4/27/2017,1. Medal - Mountains,inactive,13,actions:offsite_conversion.fb_pixel_purchase,4090,10.11846154,131.54,8303,15.84246658,13,10.11846154
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1326,10.34,20.68,1346,15.3640416,2,10.34
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,2206,4.913333333,29.48,2356,12.51273345,6,4.913333333
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1931,14.765,29.53,2054,14.37682571,2,14.765
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,,,526,,5.2,534,9.737827715,,
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,2966,15.225,30.45,3027,10.05946482,2,15.225
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1896,15.19,30.38,1919,15.83116206,2,15.19
5/28/2016,4/27/2017,6. Full Swag - Pi Day Pride,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,2615,27.52,27.52,2676,10.28400598,1,27.52
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,40,actions:offsite_conversion.fb_pixel_purchase,10966,12.3565,494.26,31925,15.48191073,40,12.3565
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,51,actions:offsite_conversion.fb_pixel_purchase,10475,9.617647059,490.5,33772,14.52386592,51,9.617647059
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,1,actions:offsite_conversion.fb_pixel_purchase,2910,41.98,41.98,3056,13.73691099,1,41.98
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,24,actions:offsite_conversion.fb_pixel_purchase,1131,5.15,123.6,6792,18.19787986,24,5.15
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,11,actions:offsite_conversion.fb_pixel_purchase,12477,16.00090909,176.01,15123,11.63856378,11,16.00090909
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,4,actions:offsite_conversion.fb_pixel_purchase,1200,15.91,63.64,3027,21.02411629,4,15.91
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,6,actions:offsite_conversion.fb_pixel_purchase,10250,23.57666667,141.46,10659,13.27141383,6,23.57666667
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,9,actions:offsite_conversion.fb_pixel_purchase,685,11.04444444,99.4,4502,22.07907597,9,11.04444444
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,18,actions:offsite_conversion.fb_pixel_purchase,28006,24.38777778,438.98,33824,12.97835856,18,24.38777778
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,9,actions:offsite_conversion.fb_pixel_purchase,8947,15.27888889,137.51,9339,14.72427455,9,15.27888889
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,22,actions:offsite_conversion.fb_pixel_purchase,29370,22.12772727,486.81,32252,15.09394766,22,22.12772727
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,2,actions:offsite_conversion.fb_pixel_purchase,3585,21.46,42.92,3849,11.1509483,2,21.46
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,17,actions:offsite_conversion.fb_pixel_purchase,6092,14.60882353,248.35,15931,15.58910301,17,14.60882353
5/28/2016,4/27/2017,5. Medal - Bakery,inactive,13,actions:offsite_conversion.fb_pixel_purchase,15956,21.00384615,273.05,17812,15.32955311,13,21.00384615
5/28/2016,4/27/2017,4. Medal - Sky Video,inactive,28,actions:offsite_conversion.fb_pixel_purchase,11202,10.58642857,296.42,17955,16.5090504,28,10.58642857
5/28/2016,4/27/2017,4. Medal - Sky Video,inactive,44,actions:offsite_conversion.fb_pixel_purchase,10362,6.773863636,298.05,21131,14.10486962,44,6.773863636
5/28/2016,4/27/2017,4. Medal - Sky Video,inactive,8,actions:offsite_conversion.fb_pixel_purchase,6485,11.225,89.8,6875,13.06181818,8,11.225
5/28/2016,4/27/2017,4. Medal - Sky Video,inactive,7,actions:offsite_conversion.fb_pixel_purchase,1409,12.67285714,88.71,4882,18.17083163,7,12.67285714
