Reporting Starts,Reporting Ends,Campaign Name,Age,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
9/20/2011,4/27/2017,TPR 2016 - 10% Off,65+,inactive,,,308,,4.97,436,11.39908257,,
9/20/2011,4/27/2017,TPR 2016 - Special,18-24,inactive,,,25,,0.06,28,2.142857143,,
9/20/2011,4/27/2017,TPR 2016 - Special,45-54,inactive,,,74,,0.18,79,2.278481013,,
9/20/2011,4/27/2017,TPR 2016 - Special,35-44,inactive,,,141,,0.44,150,2.933333333,,
9/20/2011,4/27/2017,TPR 2016 - Special,25-34,inactive,,,242,,0.62,267,2.322097378,,
9/20/2011,4/27/2017,The Puppy Run - Weekend Only,18-24,inactive,,,591,,4.94,675,7.318518519,1,4.94
9/20/2011,4/27/2017,The Puppy Run - Weekend Only,25-34,inactive,,,1533,,22.06,1938,11.38286894,,
9/20/2011,4/27/2017,The Puppy Run - Weekend Only,35-44,inactive,,,202,,3,266,11.27819549,,
9/20/2011,4/27/2017,The Puppy Run April 2016,35-44,inactive,245,actions:offsite_conversion.custom.1066514856764951,5490,0.423795918,103.83,15467,6.713001875,3,34.61
9/20/2011,4/27/2017,The Puppy Run April 2016,25-34,inactive,157,actions:offsite_conversion.custom.1066514856764951,4415,0.421464968,66.17,10795,6.129689671,1,66.17
9/20/2011,4/27/2017,"Post: ""Happy #NationalPuppyDay! Save 20% off our next...""",18-24,inactive,1,actions:post_engagement,270,0.66,0.66,279,2.365591398,,
9/20/2011,4/27/2017,"Post: ""Happy #NationalPuppyDay! Save 20% off our next...""",25-34,inactive,35,actions:post_engagement,1092,0.161142857,5.64,1250,4.512,,
9/20/2011,4/27/2017,"Post: ""Happy #NationalPuppyDay! Save 20% off our next...""",35-44,inactive,29,actions:post_engagement,1093,0.231724138,6.72,1275,5.270588235,,
9/20/2011,4/27/2017,"Post: ""Happy #NationalPuppyDay! Save 20% off our next...""",65+,inactive,4,actions:post_engagement,122,0.29,1.16,136,8.529411765,,
9/20/2011,4/27/2017,"Post: ""Happy #NationalPuppyDay! Save 20% off our next...""",55-64,inactive,8,actions:post_engagement,221,0.175,1.4,252,5.555555556,,
9/20/2011,4/27/2017,"Post: ""Happy #NationalPuppyDay! Save 20% off our next...""",45-54,inactive,19,actions:post_engagement,642,0.232631579,4.42,732,6.038251366,,
9/20/2011,4/27/2017,pi5k.com - Website Conversions,18-24,inactive,,,220,,1.38,226,6.10619469,,
9/20/2011,4/27/2017,pi5k.com - Website Conversions,25-34,inactive,,,504,,5.76,576,10,,
9/20/2011,4/27/2017,pi5k.com - Website Conversions,35-44,inactive,1,actions:offsite_conversion.registration,952,11.98,11.98,1087,11.02115915,,
9/20/2011,4/27/2017,pi5k.com - Website Conversions,45-54,inactive,,,632,,10.26,716,14.32960894,,
9/20/2011,4/27/2017,pi5k.com - Website Conversions,65+,inactive,,,107,,2.28,128,17.8125,,
9/20/2011,4/27/2017,pi5k.com - Website Conversions,55-64,inactive,,,210,,4.25,244,17.41803279,,
9/20/2011,4/27/2017,thefitfamchallenge.com - Website Conversions,45-54,inactive,1,actions:offsite_conversion.fb_pixel_purchase,766,14.89,14.89,963,15.46209761,1,14.89
9/20/2011,4/27/2017,thefitfamchallenge.com - Website Conversions,35-44,inactive,,,1670,,28.9,2168,13.3302583,,
9/20/2011,4/27/2017,thefitfamchallenge.com - Website Conversions,25-34,inactive,,,495,,7.47,608,12.28618421,,
9/20/2011,4/27/2017,"Post: ""It's time to celebrate #NationalDogDay!!

Signup...""",25-34,inactive,,,4,,0.03,4,7.5,,
9/20/2011,4/27/2017,"Post: ""It's time to celebrate #NationalDogDay!!

Signup...""",35-44,inactive,,,13,,0.06,13,4.615384615,,
9/20/2011,4/27/2017,"Post: ""It's time to celebrate #NationalDogDay!!

Signup...""",65+,inactive,,,2,,0.01,2,5,,
9/20/2011,4/27/2017,"Post: ""It's time to celebrate #NationalDogDay!!

Signup...""",55-64,inactive,,,1,,0,1,0,,
9/20/2011,4/27/2017,"Post: ""It's time to celebrate #NationalDogDay!!

Signup...""",45-54,inactive,,,5,,0.03,5,6,,
9/20/2011,4/27/2017,thepuppyrun.com - golden smile,25-34,inactive,17,actions:link_click,852,0.29,4.93,917,5.376226827,,
9/20/2011,4/27/2017,thepuppyrun.com - golden smile,35-44,inactive,33,actions:link_click,1270,0.272727273,9,1364,6.598240469,,
9/20/2011,4/27/2017,thepuppyrun.com - golden smile,45-54,inactive,43,actions:link_click,1104,0.22744186,9.78,1156,8.460207612,,
9/20/2011,4/27/2017,thepuppyrun.com - golden smile,55-64,inactive,4,actions:link_click,142,0.2925,1.17,148,7.905405405,,
9/20/2011,4/27/2017,"Post: ""We're down to our last 200 registrations for The...""",25-34,inactive,,,82,,0.33,82,4.024390244,,
9/20/2011,4/27/2017,"Post: ""We're down to our last 200 registrations for The...""",45-54,inactive,2,actions:post_engagement,125,0.375,0.75,125,6,,
9/20/2011,4/27/2017,"Post: ""We're down to our last 200 registrations for The...""",35-44,inactive,4,actions:post_engagement,154,0.1875,0.75,154,4.87012987,,
9/20/2011,4/27/2017,"Post: ""We're down to our last 200 registrations for The...""",55-64,inactive,,,19,,0.11,19,5.789473684,,
9/20/2011,4/27/2017,"Post: ""Totally ""dig"" the medal design for The Puppy Run?...""",25-34,inactive,1,actions:post_engagement,113,0.34,0.34,113,3.008849558,,
9/20/2011,4/27/2017,"Post: ""Totally ""dig"" the medal design for The Puppy Run?...""",55-64,inactive,,,12,,0.04,12,3.333333333,,
9/20/2011,4/27/2017,"Post: ""Totally ""dig"" the medal design for The Puppy Run?...""",45-54,inactive,2,actions:post_engagement,136,0.315,0.63,136,4.632352941,,
9/20/2011,4/27/2017,"Post: ""Totally ""dig"" the medal design for The Puppy Run?...""",35-44,inactive,2,actions:post_engagement,178,0.36,0.72,179,4.022346369,,
9/20/2011,4/27/2017,"Post: ""Announcing our latest feature... Newly-designed...""",25-34,inactive,1,actions:post_engagement,671,2.02,2.02,675,2.992592593,,
9/20/2011,4/27/2017,"Post: ""Announcing our latest feature... Newly-designed...""",35-44,inactive,12,actions:post_engagement,471,0.168333333,2.02,476,4.243697479,,
9/20/2011,4/27/2017,"Post: ""Announcing our latest feature... Newly-designed...""",45-54,inactive,3,actions:post_engagement,191,0.303333333,0.91,192,4.739583333,,
9/20/2011,4/27/2017,"Post: ""Announcing our latest feature... Newly-designed...""",55-64,inactive,,,10,,0.05,10,5,,
9/20/2011,4/27/2017,Gametiime - Page Likes,18-24,inactive,79,actions:like,1994,0.411518987,32.51,2523,12.88545382,,
9/20/2011,4/27/2017,Gametiime - Page Likes,55-64,inactive,78,actions:like,1530,0.468846154,36.57,2676,13.66591928,,
9/20/2011,4/27/2017,Gametiime - Page Likes,45-54,inactive,403,actions:like,6597,0.330769231,133.3,11827,11.270821,,
9/20/2011,4/27/2017,Gametiime - Page Likes,35-44,inactive,667,actions:like,13644,0.355517241,237.13,23102,10.26447927,,
9/20/2011,4/27/2017,Gametiime - Page Likes,25-34,inactive,475,actions:like,9755,0.361705263,171.81,15910,10.79886864,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",13-17,inactive,1,actions:post_engagement,376,1,1,440,2.272727273,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",18-24,inactive,50,actions:post_engagement,3074,0.1428,7.14,3403,2.098148692,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",65+,inactive,3,actions:post_engagement,318,0.673333333,2.02,318,6.352201258,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",55-64,inactive,,,271,,2.78,376,7.393617021,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",45-54,inactive,22,actions:post_engagement,830,0.305909091,6.73,1106,6.084990958,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",25-34,inactive,166,actions:post_engagement,4152,0.101144578,16.79,4842,3.467575382,,
9/20/2011,4/27/2017,"Post: ""Gametiime has been featured in GeekWire's Startup...""",35-44,inactive,148,actions:post_engagement,2120,0.091486486,13.54,2826,4.791224345,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",13-17,inactive,,,116,,0.44,116,3.793103448,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",25-34,inactive,56,actions:post_engagement,1581,0.122142857,6.84,1605,4.261682243,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",18-24,inactive,19,actions:post_engagement,961,0.150526316,2.86,968,2.954545455,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",35-44,inactive,30,actions:post_engagement,892,0.168333333,5.05,911,5.543358946,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",45-54,inactive,24,actions:post_engagement,366,0.119166667,2.86,370,7.72972973,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",65+,inactive,1,actions:post_engagement,126,0.85,0.85,129,6.589147287,,
9/20/2011,4/27/2017,"Post: ""Gametiime has launched nationwide!...""",55-64,inactive,2,actions:post_engagement,133,0.55,1.1,133,8.270676692,,
9/20/2011,4/27/2017,"Post: ""Gametiime expansion continues...

We're launching...""",25-34,inactive,,,4545,,8.82,4545,1.940594059,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",13-17,inactive,,,64,,0.07,64,1.09375,,
9/20/2011,4/27/2017,"Post: ""Gametiime expansion continues...

We're launching...""",55-64,inactive,,,21,,0.08,22,3.636363636,,
9/20/2011,4/27/2017,"Post: ""Gametiime expansion continues...

We're launching...""",45-54,inactive,,,548,,2.62,557,4.703770197,,
9/20/2011,4/27/2017,"Post: ""Gametiime expansion continues...

We're launching...""",35-44,inactive,,,1474,,3.48,1475,2.359322034,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",18-24,inactive,,,525,,0.68,527,1.290322581,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",25-34,inactive,,,740,,1.74,747,2.329317269,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",65+,inactive,,,28,,0.19,29,6.551724138,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",55-64,inactive,,,34,,0.22,36,6.111111111,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",45-54,inactive,,,117,,0.51,118,4.322033898,,
9/20/2011,4/27/2017,"Post: ""What was your best #running memory of 2013 and...""",35-44,inactive,,,360,,1.59,362,4.392265193,,
9/20/2011,4/27/2017,"Post: ""Our community rocks.

Here is a post by one of...""",25-34,inactive,,,6650,,22.22,6708,3.312462731,,
